Algorithm,Restaurant,Scenario,TotalGroups,SeatedGroups,TotalCustomers,SeatedCustomers,PctSeated,TableUtil%,SeatUtil%,AvgWait,MaxWait,AvgQueueLen,MaxQueueLen,Throughput,FairnessIndex,VIPSeated%,NonVIPSeated%,SimEndTime,BySize_Seated,BySize_AvgWait,BySize_MaxWait,BySize_Fairness,ServiceLevel
Single Queue (Self-Service),Dim Sum Hall,Distributed Arrivals with Mixed Sizes and VIPs,24,24,58,58,100.0000,71.7593,29.7421,7.7917,22.0000,2.6111,8,0.2017,0.4563,100.0000,100.0000,119,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 5.11min; Size 2: 7.20min; Size 3: 10.33min; Size 4: 9.17min; Size 6: 19.00min,Size 1: 22.00min; Size 2: 17.00min; Size 3: 17.00min; Size 4: 21.00min; Size 6: 19.00min,Size 1: 0.30; Size 2: 0.47; Size 3: 0.66; Size 4: 0.49; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=119min: 100.0%
Single Queue (Self-Service),Dim Sum Hall,Many 1 Person Groups Preferring 4-Person Tables,24,24,55,55,100.0000,71.5278,25.0794,8.2500,26.0000,2.6250,8,0.2017,0.4488,100.0000,100.0000,119,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 3.09min; Size 2: 12.75min; Size 3: 15.50min; Size 4: 10.50min; Size 6: 19.00min,Size 1: 22.00min; Size 2: 23.00min; Size 3: 17.00min; Size 4: 26.00min; Size 6: 19.00min,Size 1: 0.17; Size 2: 0.71; Size 3: 0.99; Size 4: 0.53; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=119min: 100.0%
Single Queue (Self-Service),Large Banquet Hall,Light Traffic,16,16,45,45,100.0000,30.9295,12.9464,0.0000,0.0000,0.3333,1,0.1270,0.0000,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Single Queue (Self-Service),Large Banquet Hall,Peak Hours,24,24,72,72,100.0000,70.0855,31.2075,6.1667,18.0000,2.1528,8,0.2069,0.4261,100.0000,100.0000,116,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 7.50min; Size 2: 5.00min; Size 3: 7.25min; Size 4: 5.20min; Size 5: 6.00min; Size 6: 8.00min,Size 1: 18.00min; Size 2: 16.00min; Size 3: 15.00min; Size 4: 16.00min; Size 5: 12.00min; Size 6: 16.00min,Size 1: 0.48; Size 2: 0.35; Size 3: 0.50; Size 4: 0.38; Size 5: 0.50; Size 6: 0.50,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=116min: 100.0%
Single Queue (Self-Service),Large Banquet Hall,Mixed VIP Flow,20,20,63,63,100.0000,61.9231,27.8401,0.4000,3.0000,0.5000,2,0.2020,0.1455,100.0000,100.0000,99,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 1.50min; Size 2: 0.29min; Size 3: 0.00min; Size 4: 0.75min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 3.00min; Size 2: 2.00min; Size 3: 0.00min; Size 4: 3.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.50; Size 2: 0.14; Size 3: 0.00; Size 4: 0.25; Size 5: 0.00; Size 6: 0.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=99min: 100.0%
Single Queue (Self-Service),Large Banquet Hall,Distributed Arrivals with Mixed Sizes and VIPs,24,24,58,58,100.0000,69.9786,22.7183,5.9167,18.0000,2.1389,7,0.2069,0.4184,100.0000,100.0000,116,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 4.44min; Size 2: 6.80min; Size 3: 9.00min; Size 4: 4.17min; Size 6: 16.00min,Size 1: 18.00min; Size 2: 16.00min; Size 3: 15.00min; Size 4: 15.00min; Size 6: 16.00min,Size 1: 0.31; Size 2: 0.47; Size 3: 0.66; Size 4: 0.32; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=116min: 100.0%
Single Queue (Self-Service),Large Banquet Hall,Many 1 Person Groups Preferring 4-Person Tables,24,24,55,55,100.0000,69.9786,19.2035,5.9167,18.0000,2.1389,7,0.2069,0.4184,100.0000,100.0000,116,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 2.55min; Size 2: 8.50min; Size 3: 13.50min; Size 4: 6.17min; Size 6: 16.00min,Size 1: 18.00min; Size 2: 16.00min; Size 3: 15.00min; Size 4: 15.00min; Size 6: 16.00min,Size 1: 0.17; Size 2: 0.59; Size 3: 0.99; Size 4: 0.49; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=116min: 100.0%
Single Queue (Self-Service),Small-Table Heavy Layout,Light Traffic,16,14,45,34,87.5000,37.2159,37.6136,1.7857,20.0000,1.5455,4,0.0959,0.1050,75.0000,91.6667,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 1.67min; Size 4: 6.67min; Size 5: N/A; Size 6: N/A,Size 1: 0.00min; Size 2: 0.00min; Size 3: 5.00min; Size 4: 20.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.00; Size 2: 0.00; Size 3: 0.33; Size 4: 0.33; Size 5: N/A; Size 6: N/A,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Single Queue (Self-Service),Small-Table Heavy Layout,Peak Hours,24,18,72,43,75.0000,67.4569,62.9310,19.7778,105.0000,6.8103,13,0.1304,0.2699,83.3333,72.2222,138,Size 1: 100.00%; Size 2: 100.00%; Size 3: 75.00%; Size 4: 80.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 2.50min; Size 2: 1.43min; Size 3: 40.33min; Size 4: 53.75min; Size 5: N/A; Size 6: N/A,Size 1: 10.00min; Size 2: 4.00min; Size 3: 84.00min; Size 4: 105.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.25; Size 2: 0.40; Size 3: 0.58; Size 4: 0.66; Size 5: N/A; Size 6: N/A,<=30min: 72.2%; <=60min: 83.3%; <=90min: 94.4%; <=120min: 100.0%; <=138min: 100.0%
Single Queue (Self-Service),Small-Table Heavy Layout,Mixed VIP Flow,20,16,63,41,80.0000,55.1471,55.5882,15.8750,85.0000,4.6471,9,0.1212,0.2700,83.3333,78.5714,132,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 38.33min; Size 4: 34.75min; Size 5: N/A; Size 6: N/A,Size 1: 0.00min; Size 2: 0.00min; Size 3: 50.00min; Size 4: 85.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.00; Size 2: 0.00; Size 3: 0.92; Size 4: 0.48; Size 5: N/A; Size 6: N/A,<=30min: 75.0%; <=60min: 93.8%; <=90min: 100.0%; <=120min: 100.0%; <=132min: 100.0%
Single Queue (Self-Service),Small-Table Heavy Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,21,58,45,87.5000,71.2891,53.0469,26.6667,114.0000,6.3750,13,0.1469,0.3716,83.3333,88.8889,143,Size 1: 100.00%; Size 2: 100.00%; Size 3: 66.67%; Size 4: 83.33%; Size 6: 0.00%,Size 1: 7.67min; Size 2: 10.00min; Size 3: 73.00min; Size 4: 59.00min; Size 6: N/A,Size 1: 23.00min; Size 2: 18.00min; Size 3: 114.00min; Size 4: 110.00min; Size 6: N/A,Size 1: 0.40; Size 2: 0.60; Size 3: 0.76; Size 4: 0.73; Size 6: N/A,<=30min: 71.4%; <=60min: 81.0%; <=90min: 90.5%; <=120min: 100.0%; <=143min: 100.0%
Single Queue (Self-Service),Small-Table Heavy Layout,Many 1 Person Groups Preferring 4-Person Tables,24,21,55,42,87.5000,73.0469,45.3906,27.2381,100.0000,6.7969,14,0.1579,0.4965,83.3333,88.8889,133,Size 1: 100.00%; Size 2: 100.00%; Size 3: 50.00%; Size 4: 83.33%; Size 6: 0.00%,Size 1: 8.36min; Size 2: 29.25min; Size 3: 56.00min; Size 4: 61.40min; Size 6: N/A,Size 1: 33.00min; Size 2: 32.00min; Size 3: 56.00min; Size 4: 100.00min; Size 6: N/A,Size 1: 0.27; Size 2: 0.99; Size 3: 1.00; Size 4: 0.86; Size 6: N/A,<=30min: 57.1%; <=60min: 90.5%; <=90min: 95.2%; <=120min: 100.0%; <=133min: 100.0%
Group-Size Based Queue,Compact Cafe,Light Traffic,16,14,45,34,87.5000,49.6212,47.0170,1.7857,20.0000,1.5455,4,0.0959,0.1050,75.0000,91.6667,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 1.67min; Size 4: 6.67min; Size 5: N/A; Size 6: N/A,Size 1: 0.00min; Size 2: 0.00min; Size 3: 5.00min; Size 4: 20.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.00; Size 2: 0.00; Size 3: 0.33; Size 4: 0.33; Size 5: N/A; Size 6: N/A,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Group-Size Based Queue,Compact Cafe,Peak Hours,24,19,72,46,79.1667,73.6111,67.8125,28.2632,103.0000,7.9167,15,0.1377,0.4394,83.3333,77.7778,138,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 80.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 13.50min; Size 2: 10.71min; Size 3: 50.00min; Size 4: 52.00min; Size 5: N/A; Size 6: N/A,Size 1: 22.00min; Size 2: 24.00min; Size 3: 99.00min; Size 4: 103.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.71; Size 2: 0.53; Size 3: 0.65; Size 4: 0.65; Size 5: N/A; Size 6: N/A,<=30min: 68.4%; <=60min: 78.9%; <=90min: 89.5%; <=120min: 100.0%; <=138min: 100.0%
Group-Size Based Queue,Compact Cafe,Mixed VIP Flow,20,16,63,41,80.0000,67.6471,65.8088,16.8750,85.0000,5.0588,11,0.1212,0.3032,83.3333,78.5714,132,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 0.00%; Size 6: 0.00%,Size 1: 6.50min; Size 2: 0.43min; Size 3: 38.33min; Size 4: 34.75min; Size 5: N/A; Size 6: N/A,Size 1: 8.00min; Size 2: 2.00min; Size 3: 50.00min; Size 4: 85.00min; Size 5: N/A; Size 6: N/A,Size 1: 0.95; Size 2: 0.26; Size 3: 0.92; Size 4: 0.48; Size 5: N/A; Size 6: N/A,<=30min: 75.0%; <=60min: 93.8%; <=90min: 100.0%; <=120min: 100.0%; <=132min: 100.0%
Group-Size Based Queue,Compact Cafe,Distributed Arrivals with Mixed Sizes and VIPs,24,22,58,48,91.6667,79.0404,62.6894,36.1818,105.0000,7.2879,15,0.1528,0.6015,83.3333,94.4444,144,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 83.33%; Size 6: 0.00%,Size 1: 24.67min; Size 2: 34.80min; Size 3: 59.00min; Size 4: 44.60min; Size 6: N/A,Size 1: 57.00min; Size 2: 60.00min; Size 3: 105.00min; Size 4: 90.00min; Size 6: N/A,Size 1: 0.59; Size 2: 0.74; Size 3: 0.64; Size 4: 0.70; Size 6: N/A,<=30min: 45.5%; <=60min: 86.4%; <=90min: 95.5%; <=120min: 100.0%; <=144min: 100.0%
Group-Size Based Queue,Compact Cafe,Many 1 Person Groups Preferring 4-Person Tables,24,23,55,49,95.8333,81.6176,63.0515,38.7391,81.0000,6.8382,14,0.1503,0.6189,83.3333,100.0000,153,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 0.00%,Size 1: 30.73min; Size 2: 70.25min; Size 3: 45.50min; Size 4: 30.17min; Size 6: N/A,Size 1: 75.00min; Size 2: 77.00min; Size 3: 79.00min; Size 4: 81.00min; Size 6: N/A,Size 1: 0.56; Size 2: 1.00; Size 3: 0.65; Size 4: 0.49; Size 6: N/A,<=30min: 34.8%; <=60min: 60.9%; <=90min: 100.0%; <=120min: 100.0%; <=150min: 100.0%; <=153min: 100.0%
Group-Size Based Queue,Small Bistro - Balanced Layout,Light Traffic,16,16,45,45,100.0000,59.7222,52.9356,2.1875,10.0000,0.7708,3,0.1176,0.2356,100.0000,100.0000,136,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 5.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 10.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 10.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 10.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.56; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=136min: 100.0%
Group-Size Based Queue,Small Bistro - Balanced Layout,Peak Hours,24,23,72,66,95.8333,80.8458,72.9986,43.3913,105.0000,7.1940,16,0.1447,0.6357,83.3333,100.0000,159,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 50.00%,Size 1: 55.75min; Size 2: 46.71min; Size 3: 34.50min; Size 4: 33.20min; Size 5: 47.50min; Size 6: 49.00min,Size 1: 105.00min; Size 2: 84.00min; Size 3: 59.00min; Size 4: 78.00min; Size 5: 95.00min; Size 6: 49.00min,Size 1: 0.69; Size 2: 0.71; Size 3: 0.72; Size 4: 0.53; Size 5: 0.50; Size 6: 1.00,<=30min: 39.1%; <=60min: 69.6%; <=90min: 91.3%; <=120min: 100.0%; <=150min: 100.0%; <=159min: 100.0%
Group-Size Based Queue,Small Bistro - Balanced Layout,Mixed VIP Flow,20,19,63,58,95.0000,75.7310,68.7400,26.5789,82.0000,4.7544,11,0.1301,0.5361,100.0000,92.8571,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 50.00%; Size 6: 100.00%,Size 1: 49.50min; Size 2: 26.71min; Size 3: 10.33min; Size 4: 14.00min; Size 5: 50.00min; Size 6: 41.00min,Size 1: 64.00min; Size 2: 62.00min; Size 3: 20.00min; Size 4: 38.00min; Size 5: 50.00min; Size 6: 82.00min,Size 1: 0.92; Size 2: 0.61; Size 3: 0.61; Size 4: 0.44; Size 5: 1.00; Size 6: 0.50,<=30min: 57.9%; <=60min: 84.2%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Group-Size Based Queue,Small Bistro - Balanced Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,20,58,52,83.3333,71.8579,55.0671,46.2500,126.0000,8.3115,15,0.1307,0.5472,83.3333,83.3333,153,Size 1: 77.78%; Size 2: 60.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 54.57min; Size 2: 85.33min; Size 3: 32.33min; Size 4: 31.67min; Size 6: 0.00min,Size 1: 124.00min; Size 2: 126.00min; Size 3: 60.00min; Size 4: 71.00min; Size 6: 0.00min,Size 1: 0.58; Size 2: 0.83; Size 3: 0.63; Size 4: 0.56; Size 6: 1.00,<=30min: 45.0%; <=60min: 65.0%; <=90min: 80.0%; <=120min: 90.0%; <=150min: 100.0%; <=153min: 100.0%
Group-Size Based Queue,Small Bistro - Balanced Layout,Many 1 Person Groups Preferring 4-Person Tables,24,17,55,44,70.8333,69.9405,53.1656,37.3529,132.0000,8.8571,15,0.1141,0.4336,66.6667,72.2222,149,Size 1: 72.73%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 61.75min; Size 2: N/A; Size 3: 20.00min; Size 4: 16.83min; Size 6: 0.00min,Size 1: 132.00min; Size 2: N/A; Size 3: 39.00min; Size 4: 56.00min; Size 6: 0.00min,Size 1: 0.63; Size 2: N/A; Size 3: 0.53; Size 4: 0.38; Size 6: 1.00,<=30min: 47.1%; <=60min: 76.5%; <=90min: 88.2%; <=120min: 88.2%; <=149min: 100.0%
Group-Size Based Queue,Small Bistro - Large Table Heavy Layout,Light Traffic,16,8,45,32,50.0000,43.1250,38.1510,0.0000,0.0000,5.7188,9,0.0635,0.0000,75.0000,41.6667,126,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Group-Size Based Queue,Small Bistro - Large Table Heavy Layout,Peak Hours,24,13,72,54,54.1667,77.1429,69.0476,29.1538,78.0000,10.3061,19,0.0909,0.5576,66.6667,50.0000,143,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 34.50min; Size 4: 33.20min; Size 5: 17.50min; Size 6: 20.00min,Size 1: N/A; Size 2: N/A; Size 3: 59.00min; Size 4: 78.00min; Size 5: 35.00min; Size 6: 40.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.72; Size 4: 0.53; Size 5: 0.50; Size 6: 0.50,<=30min: 46.2%; <=60min: 92.3%; <=90min: 100.0%; <=120min: 100.0%; <=143min: 100.0%
Group-Size Based Queue,Small Bistro - Large Table Heavy Layout,Mixed VIP Flow,20,11,63,47,55.0000,68.5714,61.9048,12.6364,38.0000,8.1429,14,0.0821,0.4731,50.0000,57.1429,134,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 10.33min; Size 4: 14.00min; Size 5: 10.00min; Size 6: 16.00min,Size 1: N/A; Size 2: N/A; Size 3: 20.00min; Size 4: 38.00min; Size 5: 20.00min; Size 6: 32.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.61; Size 4: 0.44; Size 5: 0.50; Size 6: 0.50,<=30min: 81.8%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=134min: 100.0%
Group-Size Based Queue,Small Bistro - Large Table Heavy Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,10,58,39,41.6667,50.6977,41.3760,28.7000,71.0000,11.8372,19,0.0694,0.5243,33.3333,44.4444,144,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 32.33min; Size 4: 31.67min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 60.00min; Size 4: 71.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.63; Size 4: 0.56; Size 6: 1.00,<=30min: 60.0%; <=60min: 80.0%; <=90min: 100.0%; <=120min: 100.0%; <=144min: 100.0%
Group-Size Based Queue,Small Bistro - Large Table Heavy Layout,Many 1 Person Groups Preferring 4-Person Tables,24,9,55,36,37.5000,47.1429,39.6825,15.6667,56.0000,11.4286,18,0.0604,0.3692,33.3333,38.8889,149,Size 1: 0.00%; Size 2: 0.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: N/A; Size 2: N/A; Size 3: 20.00min; Size 4: 16.83min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 39.00min; Size 4: 56.00min; Size 6: 0.00min,Size 1: N/A; Size 2: N/A; Size 3: 0.53; Size 4: 0.38; Size 6: 1.00,<=30min: 66.7%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=149min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Light Traffic,16,16,45,45,100.0000,40.2083,33.3882,0.0000,0.0000,0.3333,1,0.1270,0.0000,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Peak Hours,24,24,72,72,100.0000,74.3056,66.0453,17.7500,50.0000,4.0139,11,0.1600,0.5180,100.0000,100.0000,150,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 24.25min; Size 2: 22.57min; Size 3: 10.25min; Size 4: 9.00min; Size 5: 17.50min; Size 6: 25.00min,Size 1: 43.00min; Size 2: 47.00min; Size 3: 24.00min; Size 4: 25.00min; Size 5: 35.00min; Size 6: 50.00min,Size 1: 0.70; Size 2: 0.63; Size 3: 0.49; Size 4: 0.40; Size 5: 0.50; Size 6: 0.50,<=30min: 70.8%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=150min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Mixed VIP Flow,20,20,63,63,100.0000,66.5000,58.8158,7.5500,32.0000,1.9000,6,0.1587,0.3632,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 14.50min; Size 2: 8.14min; Size 3: 2.67min; Size 4: 1.25min; Size 5: 10.00min; Size 6: 16.00min,Size 1: 23.00min; Size 2: 24.00min; Size 3: 8.00min; Size 4: 5.00min; Size 5: 20.00min; Size 6: 32.00min,Size 1: 0.74; Size 2: 0.44; Size 3: 0.33; Size 4: 0.25; Size 5: 0.50; Size 6: 0.50,<=30min: 95.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,24,58,58,100.0000,59.8551,43.4783,33.5833,112.0000,5.6377,12,0.1519,0.4664,100.0000,100.0000,158,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 44.56min; Size 2: 64.60min; Size 3: 12.33min; Size 4: 7.50min; Size 6: 0.00min,Size 1: 112.00min; Size 2: 95.00min; Size 3: 25.00min; Size 4: 25.00min; Size 6: 0.00min,Size 1: 0.57; Size 2: 0.84; Size 3: 0.59; Size 4: 0.33; Size 6: 1.00,<=30min: 58.3%; <=60min: 70.8%; <=90min: 87.5%; <=120min: 100.0%; <=150min: 100.0%; <=158min: 100.0%
Group-Size Based Queue,Medium Diner - Standard Layout,Many 1 Person Groups Preferring 4-Person Tables,24,21,55,50,87.5000,55.0794,37.8446,35.8095,125.0000,6.8413,12,0.1419,0.3846,83.3333,88.8889,148,Size 1: 90.91%; Size 2: 50.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 51.20min; Size 2: 107.50min; Size 3: 0.00min; Size 4: 4.17min; Size 6: 0.00min,Size 1: 125.00min; Size 2: 121.00min; Size 3: 0.00min; Size 4: 25.00min; Size 6: 0.00min,Size 1: 0.57; Size 2: 0.98; Size 3: 0.00; Size 4: 0.17; Size 6: 1.00,<=30min: 57.1%; <=60min: 71.4%; <=90min: 81.0%; <=120min: 90.5%; <=148min: 100.0%
Group-Size Based Queue,Family Restaurant,Light Traffic,16,16,45,45,100.0000,30.7329,23.0174,25.6250,105.0000,2.6383,5,0.0860,0.3496,100.0000,100.0000,186,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 58.33min; Size 2: 47.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 95.00min; Size 2: 105.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.81; Size 2: 0.64; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 68.8%; <=60min: 81.3%; <=90min: 87.5%; <=120min: 100.0%; <=150min: 100.0%; <=180min: 100.0%; <=186min: 100.0%
Group-Size Based Queue,Family Restaurant,Peak Hours,24,18,72,63,75.0000,61.3936,48.4977,27.0000,112.0000,7.6102,15,0.1233,0.4142,83.3333,72.2222,146,Size 1: 25.00%; Size 2: 57.14%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 37.00min; Size 2: 64.50min; Size 3: 14.50min; Size 4: 20.80min; Size 5: 0.00min; Size 6: 14.50min,Size 1: 37.00min; Size 2: 112.00min; Size 3: 32.00min; Size 4: 53.00min; Size 5: 0.00min; Size 6: 29.00min,Size 1: 1.00; Size 2: 0.70; Size 3: 0.49; Size 4: 0.52; Size 5: 0.00; Size 6: 0.50,<=30min: 66.7%; <=60min: 88.9%; <=90min: 94.4%; <=120min: 100.0%; <=146min: 100.0%
Group-Size Based Queue,Family Restaurant,Mixed VIP Flow,20,17,63,58,85.0000,54.0881,43.9108,25.2353,115.0000,5.2075,10,0.1164,0.3198,83.3333,85.7143,146,Size 1: 50.00%; Size 2: 71.43%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 100.00min; Size 2: 55.40min; Size 3: 3.33min; Size 4: 5.50min; Size 5: 10.00min; Size 6: 0.00min,Size 1: 100.00min; Size 2: 115.00min; Size 3: 10.00min; Size 4: 16.00min; Size 5: 20.00min; Size 6: 0.00min,Size 1: 1.00; Size 2: 0.67; Size 3: 0.33; Size 4: 0.41; Size 5: 0.50; Size 6: 0.00,<=30min: 76.5%; <=60min: 82.4%; <=90min: 88.2%; <=120min: 100.0%; <=146min: 100.0%
