Algorithm,Restaurant,Scenario,TotalGroups,SeatedGroups,TotalCustomers,SeatedCustomers,PctSeated,TableUtil%,SeatUtil%,AvgWait,MaxWait,AvgQueueLen,MaxQueueLen,Throughput,FairnessIndex,VIPSeated%,NonVIPSeated%,SimEndTime,BySize_Seated,BySize_AvgWait,BySize_MaxWait,BySize_Fairness,ServiceLevel
Single Queue (Self-Service),Medium Diner - Standard Layout,Light Traffic,16,16,45,45,100.0000,40.2083,33.3882,0.0000,0.0000,0.3333,1,0.1270,0.0000,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Single Queue (Self-Service),Medium Diner - Standard Layout,Peak Hours,24,24,72,72,100.0000,75.4167,65.1681,15.1250,50.0000,3.7917,11,0.1600,0.5169,100.0000,100.0000,150,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 17.25min; Size 2: 10.71min; Size 3: 14.00min; Size 4: 15.60min; Size 5: 17.50min; Size 6: 25.00min,Size 1: 27.00min; Size 2: 24.00min; Size 3: 32.00min; Size 4: 35.00min; Size 5: 35.00min; Size 6: 50.00min,Size 1: 0.74; Size 2: 0.53; Size 3: 0.49; Size 4: 0.56; Size 5: 0.50; Size 6: 0.50,<=30min: 83.3%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=150min: 100.0%
Single Queue (Self-Service),Medium Diner - Standard Layout,Mixed VIP Flow,20,20,63,63,100.0000,67.5000,58.2456,5.1500,32.0000,1.7000,5,0.1587,0.2522,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.43min; Size 3: 9.00min; Size 4: 5.25min; Size 5: 10.00min; Size 6: 16.00min,Size 1: 0.00min; Size 2: 3.00min; Size 3: 17.00min; Size 4: 16.00min; Size 5: 20.00min; Size 6: 32.00min,Size 1: 0.00; Size 2: 0.14; Size 3: 0.62; Size 4: 0.39; Size 5: 0.50; Size 6: 0.50,<=30min: 95.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Single Queue (Self-Service),Medium Diner - Standard Layout,Distributed Arrivals with Mixed Sizes and VIPs,24,24,58,58,100.0000,75.0000,46.8933,15.0417,50.0000,3.7917,10,0.1600,0.5090,100.0000,100.0000,150,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 10.44min; Size 2: 16.20min; Size 3: 16.33min; Size 4: 14.50min; Size 6: 50.00min,Size 1: 27.00min; Size 2: 28.00min; Size 3: 25.00min; Size 4: 43.00min; Size 6: 50.00min,Size 1: 0.44; Size 2: 0.70; Size 3: 0.67; Size 4: 0.44; Size 6: 1.00,<=30min: 91.7%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=150min: 100.0%
Single Queue (Self-Service),Medium Diner - Standard Layout,Many 1 Person Groups Preferring 4-Person Tables,24,24,55,55,100.0000,75.2778,39.1082,14.8750,46.0000,3.7778,10,0.1644,0.5163,100.0000,100.0000,146,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 6.36min; Size 2: 20.25min; Size 3: 24.50min; Size 4: 18.50min; Size 6: 46.00min,Size 1: 27.00min; Size 2: 28.00min; Size 3: 25.00min; Size 4: 43.00min; Size 6: 46.00min,Size 1: 0.27; Size 2: 0.88; Size 3: 1.00; Size 4: 0.60; Size 6: 1.00,<=30min: 91.7%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=146min: 100.0%
Single Queue (Self-Service),Family Restaurant,Light Traffic,16,16,45,45,100.0000,44.6759,28.8352,0.0000,0.0000,0.3333,1,0.1270,0.0000,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Single Queue (Self-Service),Family Restaurant,Peak Hours,24,24,72,72,100.0000,77.0062,53.5038,20.0000,45.0000,4.3889,12,0.1739,0.5735,100.0000,100.0000,138,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 24.00min; Size 2: 18.71min; Size 3: 20.25min; Size 4: 20.20min; Size 5: 17.50min; Size 6: 18.00min,Size 1: 42.00min; Size 2: 44.00min; Size 3: 42.00min; Size 4: 45.00min; Size 5: 35.00min; Size 6: 36.00min,Size 1: 0.70; Size 2: 0.53; Size 3: 0.63; Size 4: 0.55; Size 5: 0.50; Size 6: 0.50,<=30min: 62.5%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=138min: 100.0%
Single Queue (Self-Service),Family Restaurant,Mixed VIP Flow,20,20,63,63,100.0000,72.0370,50.0758,6.7500,22.0000,2.0333,7,0.1709,0.4201,100.0000,100.0000,117,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 7.00min; Size 2: 5.57min; Size 3: 4.33min; Size 4: 9.25min; Size 5: 10.00min; Size 6: 6.00min,Size 1: 9.00min; Size 2: 22.00min; Size 3: 10.00min; Size 4: 21.00min; Size 5: 20.00min; Size 6: 12.00min,Size 1: 0.92; Size 2: 0.30; Size 3: 0.52; Size 4: 0.49; Size 5: 0.50; Size 6: 0.50,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=117min: 100.0%
Single Queue (Self-Service),Family Restaurant,Distributed Arrivals with Mixed Sizes and VIPs,24,24,58,58,100.0000,77.1605,38.4785,19.5417,45.0000,4.3611,11,0.1727,0.5671,100.0000,100.0000,139,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 15.56min; Size 2: 24.20min; Size 3: 22.67min; Size 4: 16.83min; Size 6: 39.00min,Size 1: 43.00min; Size 2: 44.00min; Size 3: 42.00min; Size 4: 45.00min; Size 6: 39.00min,Size 1: 0.48; Size 2: 0.74; Size 3: 0.63; Size 4: 0.46; Size 6: 1.00,<=30min: 62.5%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=139min: 100.0%
Single Queue (Self-Service),Family Restaurant,Many 1 Person Groups Preferring 4-Person Tables,24,24,55,55,100.0000,77.1605,32.0707,19.5417,50.0000,4.3611,11,0.1727,0.5624,100.0000,100.0000,139,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 6: 100.00%,Size 1: 10.45min; Size 2: 29.50min; Size 3: 30.50min; Size 4: 23.50min; Size 6: 34.00min,Size 1: 50.00min; Size 2: 44.00min; Size 3: 35.00min; Size 4: 46.00min; Size 6: 34.00min,Size 1: 0.29; Size 2: 0.88; Size 3: 0.98; Size 4: 0.64; Size 6: 1.00,<=30min: 62.5%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=139min: 100.0%
Single Queue (Self-Service),Dim Sum Hall,Light Traffic,16,16,45,45,100.0000,33.5069,18.1250,0.0000,0.0000,0.3333,1,0.1270,0.0000,100.0000,100.0000,126,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00min; Size 2: 0.00min; Size 3: 0.00min; Size 4: 0.00min; Size 5: 0.00min; Size 6: 0.00min,Size 1: 0.00; Size 2: 0.00; Size 3: 0.00; Size 4: 0.00; Size 5: 1.00; Size 6: 1.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=120min: 100.0%; <=126min: 100.0%
Single Queue (Self-Service),Dim Sum Hall,Peak Hours,24,24,72,72,100.0000,71.8750,40.9127,7.9583,21.0000,2.6250,9,0.2017,0.4624,100.0000,100.0000,119,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 7.50min; Size 2: 5.43min; Size 3: 8.25min; Size 4: 11.40min; Size 5: 7.00min; Size 6: 9.50min,Size 1: 20.00min; Size 2: 18.00min; Size 3: 17.00min; Size 4: 21.00min; Size 5: 14.00min; Size 6: 19.00min,Size 1: 0.45; Size 2: 0.35; Size 3: 0.50; Size 4: 0.60; Size 5: 0.50; Size 6: 0.50,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=119min: 100.0%
Single Queue (Self-Service),Dim Sum Hall,Mixed VIP Flow,20,20,63,63,100.0000,64.8611,37.8333,1.5500,13.0000,0.7333,3,0.1835,0.1855,100.0000,100.0000,109,Size 1: 100.00%; Size 2: 100.00%; Size 3: 100.00%; Size 4: 100.00%; Size 5: 100.00%; Size 6: 100.00%,Size 1: 3.00min; Size 2: 0.29min; Size 3: 1.67min; Size 4: 1.25min; Size 5: 6.50min; Size 6: 0.00min,Size 1: 6.00min; Size 2: 2.00min; Size 3: 5.00min; Size 4: 5.00min; Size 5: 13.00min; Size 6: 0.00min,Size 1: 0.50; Size 2: 0.14; Size 3: 0.33; Size 4: 0.25; Size 5: 0.50; Size 6: 0.00,<=30min: 100.0%; <=60min: 100.0%; <=90min: 100.0%; <=109min: 100.0%
